IdleTimes
n, µs
529, 7760
530, 8891
531, 5156
532, 11391
533, 5453
534, 14089
535, 5253
536, 7550
537, 5775
538, 11085
539, 6119
540, 9650
541, 5326
542, 11405
543, 5441
544, 11943
545, 4915
546, 11896
547, 5135
548, 11015
549, 8733
550, 7981
551, 5330
552, 10986
553, 5038
554, 7332
555, 6719
556, 5922
557, 7568
558, 5116
559, 11696
560, 8836
561, 6910
562, 5109
563, 12732
564, 6836
565, 9449
566, 5432
567, 10729
568, 5425
569, 12020
570, 5380
571, 10028
572, 5042
573, 11832
574, 7349
575, 2375
576, 5155
577, 1170
578, 5321
579, 11299
580, 5109
581, 12198
582, 5463
583, 10620
584, 5180
585, 11661
586, 8346
587, 7919
588, 7170
589, 9065
590, 5140
591, 11343
592, 7355
593, 10279
594, 5296
595, 13298
596, 5355
597, 8610
598, 5656
599, 10752
600, 6844
601, 9704
602, 5514
603, 32775
604, 9592
605, 65165
606, 5341
607, 153948
608, 5196
609, 78389
610, 5402
611, 23600
612, 11150
613, 37393
614, 7599
615, 33756
616, 4972
617, 184647
618, 8769
619, 14373
620, 5247
621, 12207
622, 8075
623, 8856
624, 5063
625, 11242
626, 4982
627, 10428
628, 10280
629, 6241
630, 911
631, 5209
632, 11446
633, 7973
634, 8281
635, 5178
636, 60271
637, 7626
638, 34625
639, 5478
640, 47188
641, 4927
642, 1974
643, 8290
644, 1780
645, 5739
646, 14208
647, 5414
648, 8645
649, 5345
650, 13114
651, 5146
652, 11446
653, 5711
654, 15798
655, 5012
656, 19878
657, 5226
658, 37825
659, 5347
660, 1375413
661, 18860
662, 5480
663, 11100
664, 5173
665, 10419
666, 4833
667, 12609
668, 5349
669, 10924
670, 4928
671, 11346
672, 4896
673, 11399
674, 5099
675, 11562
676, 5012
677, 11618
678, 4746
679, 14366
680, 9716
681, 5681
682, 4861
683, 13023
684, 4952
685, 86228
686, 4745
687, 27551
688, 4868
689, 13154
690, 6077
691, 10030
692, 4706
693, 11951
694, 4778
695, 11501
696, 4712
697, 59934
698, 6599
699, 974428
700, 26895
701, 5337
702, 12154
703, 350125
704, 13653
705, 10066
706, 11803
707, 181350
708, 13819
709, 5209
710, 8918
711, 5261
712, 12646
713, 5262
714, 11583
715, 7282
716, 2917
717, 5404
718, 2144
719, 5386
720, 10882
721, 5804
722, 11930
723, 5282
724, 12257
725, 6641
726, 9518
727, 5316
728, 11394
729, 5116
730, 11108
731, 5218
732, 11057
733, 6767
734, 62242
735, 8229
736, 184532
737, 10632
738, 5575
739, 18010
740, 6303
741, 160968
742, 8309
743, 104199
744, 5313
745, 83774
746, 5593
747, 186727
748, 8675
749, 189876
750, 7497
751, 188609
752, 9055
753, 42998
754, 5387
755, 10523
756, 6002
757, 10736
758, 5284
759, 10930
760, 5438
761, 11275
762, 5246
763, 11056
764, 10959
765, 5577
766, 5608
767, 10662
768, 5183
769, 11407
770, 5419
771, 8290
772, 9013
773, 5265
774, 5489
775, 5194
776, 12177
777, 6157
778, 10812
779, 5365
780, 12417
781, 5181
782, 11100
783, 5585
784, 35783
785, 6299
786, 29432
787, 5356
788, 12775
789, 5519
790, 11114
791, 5821
792, 10441
793, 5509
794, 10765
795, 5436
796, 13112
797, 5192
798, 7649
799, 9511
800, 5226
801, 4593
802, 5137
803, 10772
804, 5453
805, 10476
806, 5213
807, 11764
808, 5354
809, 12009
810, 5235
811, 11466
812, 5348
813, 10798
814, 5060
815, 6367
816, 10331
817, 5391
818, 7209
819, 5302
820, 11116
821, 5759
822, 10769
823, 5426
824, 10795
825, 5378
826, 12246
827, 5076
828, 75787
829, 5130
830, 21942
831, 8335
832, 4896442
833, 5004
834, 129936
835, 5340
836, 36823
837, 5280
838, 99457
839, 7322
840, 6166
841, 6804
842, 11110
843, 1944
844, 5392
845, 11311
846, 8373
847, 7977
848, 6788
849, 9496
850, 5197
851, 10871
852, 8267
853, 8075
854, 5247
855, 11117
856, 8916
857, 8104
858, 5176
859, 12236
860, 6309
861, 2162
862, 5224
863, 4227
864, 5458
865, 10879
866, 6404
867, 9022
868, 5734
869, 5072
870, 6226
871, 5355
872, 11481
873, 7611
874, 8779
875, 5723
876, 10659
877, 5298
878, 10710
879, 5377
880, 31292
881, 5199
882, 5608
883, 5231
884, 43370
885, 6641
886, 72389
887, 5265
888, 15095
889, 5263
890, 56736
891, 5452
892, 11521
893, 6303
894, 9636
895, 7598
896, 9103
897, 5710
898, 10301
899, 5475
900, 12415
901, 5175
902, 8245
903, 9633
904, 5219
905, 4787
906, 5510
907, 16882
908, 5256
909, 6461
910, 11601
911, 4386
912, 6374
913, 11329
914, 5142
915, 11859
916, 5261
917, 11564
918, 5157
919, 11551
920, 7489
921, 8178
922, 8149
923, 5142
924, 3058
925, 5369
926, 12381
927, 5551
928, 11465
929, 5653
930, 10067
931, 5253
932, 11210
933, 7562
934, 9090
935, 5257
936, 11254
937, 5702
938, 10313
939, 5218
940, 10686
941, 5297
942, 12405
943, 8543
944, 6433
945, 1153
946, 6246
947, 10305
948, 10334
949, 7149
950, 5023
951, 10299
952, 5282
953, 12460
954, 7570
955, 8050
956, 6488
