There is still no archive for images from queries for host %s.\nShould such an archive be created automatically?,,TODO! There is still no archive for images from queries for host %s.\nShould such an archive be created automatically?,,,,,,,,,0,,
Normal,,Normal,,,,,,,,,0,,
Query,,Cerca,,,,,,,,,0,,
There is not enough space to create an %s archive for host %s!,,TODO! There is not enough space to create an %s archive for host %s!,,,,,,,,,0,,
Save,,Salva,,,,,,,,,0,,
Settings,,Impostazioni,,,,,,,,,0,,
Open,,Apri,,,,,,,,,0,,
Query results,,TODO! Risultati di cerca,,,,,,,,,0,,
New,,Nuovo,,,,,,,,,0,,
New host,,TODO! New host,,,,,,,,,0,,
Remote host,,TODO! Remote host,,,,,,,,,0,,
Call number,,TODO! Call number,,,,,,,,,0,,
ISDN,,ISDN,,,,,,,,,0,,
TCP/IP,,TCP/IP,,,,,,,,,0,,
System Management,,TODO! System Management,,,,,,,,,0,,
 ,, ,,,,,,,,,0,,
Select the object where you need help.,,TODO! Select the object where you need help.,,,,,,,,,0,,
ER,,TODO! ER,,,,,,,,,0,,
UF,,TODO! UF,,,,,,,,,0,,
NUM,,NUM,,,,,,,,,0,,
RF,,TODO! RF,,,,,,,,,0,,
OVR,,SSC,,,,,,,,,0,,
MA,,TODO! MA,,,,,,,,,0,,
Creates a new document. \nNew,,TODO! Crei un documento nouvo.\nNuovo,,,,,,,,,0,,
Opens present settings.\nOpen,,TODO! Opens present settings.\nOpen,,,,,,,,,0,,
Closes the active document.\nClose,,Chiude il documento attivo\nChiudi,,,,,,,,,0,,
Save\nSaves all settings,,TODO! Salva\nSalva tutti impostazioni,,,,,,,,,0,,
Saves the active settings under a new name.\nSave as,,TODO! Saves the active settings under a new name.\nSave as,,,,,,,,,0,,
Changes the printing options.\nPage Setup,,Modifica le opzioni di stampa\nImposta pagina,,,,,,,,,0,,
Changes the printer and printing options\nPrint Setup,,Cambia la stampante e le opzioni di stampa.\nImposta stampante,,,,,,,,,0,,
Prints the active document.\nPrinting,,TODO! Stampa il documento attiva.\nStampa,,,,,,,,,0,,
Displays the entire cover page.\nPrint Preview,,Visualizza tutto il frontespizio.\nAnteprima di stampa,,,,,,,,,0,,
"Info...\nShows Program Information, Number of Version an Copyright.",,"TODO! Informazioni...\nShows Program Information, Number of Version an Copyright.",,,,,,,,,0,,
Exit System Management. Asks if the settings should be stored.\nExit,,TODO! Exit System Management. Asks if the settings should be stored.\nExit,,,,,,,,,0,,
Opens the help function.\nHelp topics,,TODO! Opens the help function.\nHelp topics,,,,,,,,,0,,
Lists all help topics.\nHelp topics,,TODO! Lists all help topics.\nHelp topics,,,,,,,,,0,,
Display instructions about how to use help\nHelp,,Visualizza informazioni sull'uso della Guida.\n?,,,,,,,,,0,,
"Shows help for clicked buttons, menues or windows.\nHelp",,"TODO! Shows help for clicked buttons, menues or windows.\nHelp",,,,,,,,,0,,
Display help for current task or command\nHelp,,Visualizza la Guida per l'operazione o il comando corrente.\n?,,,,,,,,,0,,
Opens this document,,Apre il documento selezionato.,,,,,,,,,0,,
Opens this document,,Apre il documento selezionato.,,,,,,,,,0,,
Opens this document,,Apre il documento selezionato.,,,,,,,,,0,,
Opens this document,,Apre il documento selezionato.,,,,,,,,,0,,
Opens this document,,Apre il documento selezionato.,,,,,,,,,0,,
Opens this document,,Apre il documento selezionato.,,,,,,,,,0,,
Opens this document,,Apre il documento selezionato.,,,,,,,,,0,,
Opens this document,,Apre il documento selezionato.,,,,,,,,,0,,
